net,length_um
_0513_,2.72µm
net156,2.72µm
_0005_,2.715µm
_0114_,2.64µm
_0322_,2.62µm
_0444_,2.62µm
net163,2.62µm
_0013_,2.545µm
_0048_,2.545µm
_0171_,2.5µm
_0254_,2.5µm
_0530_,2.5µm
_0592_,2.5µm
net30,2.5µm
_0198_,2.38µm
_0214_,2.38µm
_0497_,2.38µm
_0206_,2.34µm
_0020_,2.325µm
net335,2.18µm
net32,2.16µm
net34,2.16µm
net218,2.16µm
_0063_,2.145µm
_0052_,2.125µm
_0055_,2.125µm
_0194_,2.06µm
net142,2.06µm
_0401_,2.04µm
_0439_,2.04µm
_0448_,2.04µm
_0491_,2.04µm
_0517_,2.04µm
_0518_,2.04µm
_0663_,2.04µm
net27,2.04µm
net35,2.04µm
net166,2.02µm
_0121_,1.84µm
net311,1.84µm
_0190_,1.7µm
_0380_,1.7µm
_0541_,1.7µm
net303,1.7µm
_0014_,1.685µm
_0016_,1.685µm
_0059_,1.685µm
_0062_,1.685µm
net305,1.6µm
_0128_,1.48µm
_0209_,1.38µm
_0675_,1.38µm
_0650_,1.26µm
net73,1.14µm
_0101_,0.92µm
net319,0.46µm
net323,0.46µm
